CENSUSTRACT,2020_MEDHOUSEINC,2020_MEDHOUSEVAL,1990_MEDHOUSEINC,1990_MEDHOUSEVAL,STATEFP,TRACTCE,GEOID,INTPTLAT,INTPTLON
Census Tract 35,"$107,702","$898,400","$74,940.10","$295,920",53,3500,53033003500,47.6725466,-122.352088
Census Tract 41.01,"$250,001","$1,779,100",#N/A,#N/A,53,4101,53033004101,47.66064,-122.2694346
Census Tract 43.02,"$38,033","$893,400","$44,469.88","$303,342",53,4302,53033004302,47.6647387,-122.3035964
Census Tract 45,"$115,885","$767,300","$68,846.17","$248,450",53,4500,53033004500,47.6685824,-122.3229111
Census Tract 46,"$136,940","$956,400","$77,166.86","$288,899",53,4600,53033004600,47.683092,-122.3378674
Census Tract 47.03,"$105,815","$689,100",#N/A,#N/A,53,4703,53033004703,47.6643472,-122.3721352
Census Tract 48,"$119,946","$815,000","$68,060.62","$245,732",53,4800,53033004800,47.6608472,-122.3601847
Census Tract 49.01,"$105,053","$590,800",#N/A,#N/A,53,4901,53033004901,47.6613804,-122.3513529
Census Tract 49.02,"$122,422","$811,500",#N/A,#N/A,53,4902,53033004902,47.652783,-122.3506012
Census Tract 50,"$108,022","$840,000","$57,123.18","$277,012",53,5000,53033005000,47.6608696,-122.3418076
Census Tract 51,"$125,372","$908,500","$73,765.26","$310,739",53,5100,53033005100,47.6585183,-122.332248
Census Tract 52.01,"$64,038","$821,600",#N/A,#N/A,53,5201,53033005201,47.6595743,-122.3245993
Census Tract 52.02,"$38,344",#N/A,#N/A,#N/A,53,5202,53033005202,47.6567013,-122.3203201
Census Tract 53.04,"$22,222",#N/A,#N/A,#N/A,53,5304,53033005304,47.6561001,-122.3150258
Census Tract 53.05,"$21,781",#N/A,#N/A,#N/A,53,5305,53033005305,47.6590644,-122.3148784
Census Tract 53.06,"$36,798",#N/A,#N/A,#N/A,53,5306,53033005306,47.6630891,-122.3141376
Census Tract 53.07,"$35,519",#N/A,#N/A,#N/A,53,5307,53033005307,47.66306,-122.3086776
Census Tract 54.01,"$126,380","$689,800",#N/A,#N/A,53,5401,53033005401,47.6475292,-122.3381077
Census Tract 54.02,"$98,913","$869,500",#N/A,#N/A,53,5402,53033005402,47.654105,-122.3411359
Census Tract 56,"$171,049","$1,047,500","$117,720.85","$517,660",53,5600,53033005600,47.6405468,-122.4071053
Census Tract 57,"$143,384","$846,800","$76,111.02","$321,918",53,5700,53033005700,47.6581015,-122.4137704
Census Tract 58.01,"$112,056","$650,200","$64,214.06","$291,552",53,5801,53033005801,47.6548926,-122.3850376
Census Tract 58.03,"$110,962","$867,000",#N/A,#N/A,53,5803,53033005803,47.6424544,-122.3878383
Census Tract 58.04,"$77,889","$532,300",#N/A,#N/A,53,5804,53033005804,47.6319354,-122.3774788
